Course_Name,Rating,Organization,Link,About,Skills
Objective-C for Swift Developers,intermediate5 Weeks,School of Programming & Development,https://www.udacity.com//course/objective-c-for-swift-developers--ud1009,"Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods.","iOS, Swift, Objective-C, Control Flow Syntax"
Software Testing,intermediate1 Month,School of Programming & Development,https://www.udacity.com//course/software-testing--cs258,Learn how to catch bugs and break software as you discover different testing methods that will help you build better software.,"Software Testing, Debugging, Code Coverage"
Interactive 3D Graphics,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/interactive-3d-graphics--cs291,"This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.","Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders"
Full Stack Foundations,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/full-stack-foundations--ud088,Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping"
High Performance Computer Architecture,advanced,School of Programming & Development,https://www.udacity.com//course/high-performance-computer-architecture--ud007,"The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.","Processor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor Architectures"
AutoLayout,intermediate6 Days,School of Programming & Development,https://www.udacity.com//course/auto-layout--ud1026,"With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.","Design, UI, Stack Views, Constraints"
Kotlin Bootcamp for Programmers,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/kotlin-bootcamp-for-programmers--ud9011,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,Android Development
Shell Workshop,1 Day,School of Programming & Development,https://www.udacity.com//course/shell-workshop--ud206,,
Core ML: Machine Learning for iOS,intermediate1 Week,School of Programming & Development,https://www.udacity.com//course/core-ml--ud1038,Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.,"iOS, Image Classification, Core ML"
Statistics,beginner4 Months,School of Programming & Development,https://www.udacity.com//course/statistics--st095,We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.,"Statistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, Regression"
Intro to Theoretical Computer Science,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/intro-to-theoretical-computer-science--cs313,Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.,"theoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problems"
Design of Computer Programs,advanced2 Months,School of Programming & Development,https://www.udacity.com//course/design-of-computer-programs--cs212,"Learn how to model problems, and how to optimize performance by using some of the advanced features of Python.","Computer Program Design, Python, Design Process"
Data Wrangling with MongoDB,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/data-wrangling-with-mongodb--ud032,"Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.","Gathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDB"
Swift for Developers,beginner7 Days,School of Programming & Development,https://www.udacity.com//course/swift-for-developers--ud1025,Get a quick practical introduction to Swift programming basics and build your first iOS app!,"Variables and Constants, Strings, Control Flow, Functions"
Firebase in a Weekend: Android,intermediate2 Days,School of Programming & Development,https://www.udacity.com//course/firebase-in-a-weekend-by-google-android--ud0352,This course will teach you when and why to choose Firebase as a backend for your Android application.,Android Development
Software Debugging,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/software-debugging--cs259,In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.,"Debugging, Python, Automated Debugging"
Deploying a Hadoop Cluster,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/deploying-a-hadoop-cluster--ud1000,Deploy your own Hadoop cluster to crunch some big data!,"Data Analysis, Hadoop, MapReduce"
Server-Side Swift,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/server-side-swift--ud1031,"In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.","Swift Package Manager, MySQL, Docker, Terraform, Microservices"
Programming Languages,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/programming-languages--cs262,"This course is an introduction to the fundamentals of programming languages. Concepts include how to specify and process valid strings, sentences and program structures.","Introduciton to Programming Languages, Validate and Process Strings, HTML and JavaScript, Build your own web browser"
Networking for Web Developers,beginner2 Weeks,School of Programming & Development,https://www.udacity.com//course/networking-for-web-developers--ud256,You've used the Internet. Now find out more about how it works.,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing"
