,course_id,course_title,url,level,content_duration,subject
129,474238,Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,Intermediate Level,2.0,Business Finance
130,1245244,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,Beginner Level,1.0,Business Finance
131,1051570,Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,All Levels,2.5,Business Finance
132,262370,Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,All Levels,1.0,Business Finance
133,1188178,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,All Levels,1.0,Business Finance
134,824592,Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,All Levels,1.5,Business Finance
135,1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,All Levels,9.5,Business Finance
136,1243448,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,Beginner Level,1.0,Business Finance
137,730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,All Levels,20.0,Business Finance
138,252396,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,All Levels,2.5,Business Finance
139,1198166,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,All Levels,1.0,Business Finance
140,920604,Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,Beginner Level,6.0,Business Finance
141,215728,Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,Beginner Level,1.5,Business Finance
142,722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,All Levels,4.0,Business Finance
143,48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,Beginner Level,1.5,Business Finance
144,907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,Beginner Level,5.0,Business Finance
145,317030,Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,Intermediate Level,2.5,Business Finance
146,891490,"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,Beginner Level,2.5,Business Finance
147,1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,Intermediate Level,3.0,Business Finance
148,812616,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,All Levels,1.5,Business Finance
149,407984,Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,Beginner Level,1.0,Business Finance
150,214046,Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,Beginner Level,1.5,Business Finance
151,512400,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,All Levels,1.5,Business Finance
152,377370,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,All Levels,1.0,Business Finance
153,1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,Beginner Level,3.0,Business Finance
154,945750,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,All Levels,3.0,Business Finance
155,1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,All Levels,3.5,Business Finance
156,1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,Intermediate Level,1.0,Business Finance
157,402836,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,Beginner Level,2.0,Business Finance
158,588764,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,All Levels,4.5,Business Finance
159,576946,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,Beginner Level,1.0,Business Finance
160,543242,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,All Levels,46.5,Business Finance
161,502240,"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,All Levels,5.0,Business Finance
162,598266,Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,Beginner Level,4.0,Business Finance
163,814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,All Levels,2.5,Business Finance
164,1076920,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,Beginner Level,3.0,Business Finance
165,1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,All Levels,1.0,Business Finance
166,441112,Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,All Levels,1.5,Business Finance
167,1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,All Levels,2.0,Business Finance
168,1028030,Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,All Levels,1.5,Business Finance
169,1018380,Forex Trading Like Banks – Step by Step with Live Examples,https://www.udemy.com/forex-trading-like-banks-step-by-step-with-live-examples/,All Levels,4.5,Business Finance
170,575676,Fundamentals of Investing!,https://www.udemy.com/investment-basics-lets-invest-series/,Beginner Level,2.0,Business Finance
171,1105216,Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,All Levels,1.5,Business Finance
172,936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,https://www.udemy.com/tradeforex/,All Levels,2.0,Business Finance
173,43441,"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,All Levels,3.0,Business Finance
174,1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,All Levels,1.5,Business Finance
175,584410,The Ultimate Guide to Dividend & Dividend Growth Investing,https://www.udemy.com/investing-learn-how-to-build-a-dividend-portfolio-step-by-step/,All Levels,5.5,Business Finance
176,625568,Charting for Beginners 101: Technical Analysis Demystified,https://www.udemy.com/charting-for-beginners-101/,All Levels,1.5,Business Finance
177,297742,Build a DCF Valuation Model,https://www.udemy.com/build-a-dcf-valuation-model/,All Levels,5.5,Business Finance
178,24877,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,Beginner Level,10.0,Business Finance
179,1188742,Introduction to Cryptocurrencies and Blockchain,https://www.udemy.com/introduction-to-cryptocurrencies/,Beginner Level,2.0,Business Finance
180,597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,https://www.udemy.com/make-consistent-profit-using-pullback-candlestick-strategy/,All Levels,3.0,Business Finance
181,415802,Accounting Standards Basics (Professional Course Level),https://www.udemy.com/basics-of-accounting-standards/,All Levels,0.7,Business Finance
182,323950,Use the Magic Multiple Moving Average Forex Trading system,https://www.udemy.com/the-magic-multiple-moving-average-forex-trading-system/,Intermediate Level,1.0,Business Finance
183,488818,QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,Beginner Level,6.0,Business Finance
184,610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,https://www.udemy.com/trading-psychology-trading-mindset-mastery/,Intermediate Level,1.0,Business Finance
185,638980,Option Trading: How to Adjust Delta-Neutral Strangles!,https://www.udemy.com/option-trading-selling-strangles/,All Levels,1.5,Business Finance
186,599684,Profitable binary option trading strategy,https://www.udemy.com/binaryoptions/,All Levels,1.5,Business Finance
187,332848,Tax Strategy: Financial Planning for Beginners,https://www.udemy.com/taxsavingstrategy/,All Levels,2.0,Business Finance
188,354324,Accounting 2 Simplified for You,https://www.udemy.com/accounting-2-simplified-for-you/,Beginner Level,5.0,Business Finance
189,379682,Project Funding Modelling (for Professionals),https://www.udemy.com/project-funding-modelling/,All Levels,1.5,Business Finance
190,319020,Investing: How I Consistently Beat The Stock Market,https://www.udemy.com/beat-the-stock-market/,All Levels,4.5,Business Finance
